ID;Status;TaxonName;SVPetLenMin_mm;SVPetLenMax_mm;SepLenMin_mm;SepLenMax_mm;FrLenMin_mm;FrLenMax_mm;SeedLenMin_mm;SeedLenMax_mm;SVPropLenMin_mm;SVPropLenMax_mm;LeafLenMin_mm;LeafLenMax_mm;LeafWidMin_mm;LeafWidMax_mm;StemLenMin_cm;StemLenMax_cm;ChromNo;MinAlt;MaxAlt;AltRange;StartFloPer;EndFloPer;FloPer;;;;;;;;;;
1;E;Allium samothracicum;4.00;5.00;;;;;;;;;70.00;100.00;1.00;1.50;10.00;15.00;16;0;250;250;6;7;2;;;;;;;;;;
1;W;Allium paniculatum;4.00;6.00;;;5.00;5.00;;;;;30.00;50.00;1.00;2.00;20.00;60.00;16;0;1200;1200;5;8;3;;;;;;;;;;
2;E;Bupleurum aira;0.4;0.5;;;1.2;1.8;;;1.2;1.8;10.0;40.0;0.5;3.0;10.0;50.0;14;0;100;100;4;6;3;;;;;;;;;;
2;W;Bupleurum gracile;0.5;0.6;;;1.3;1.8;;;1.3;1.8;20.0;70.0;1.0;2.0;5.0;50.0;14;0;1100;1100;4;6;3;;;;;;;;;;
3;E;Eryngium amorgium;15.0;15.0;2.0;2.0;;;;;;;120.0;120.0;;;50.0;100.0;14;0;600;600;6;8;3;;;;;;;;;;
3;W;Eryngium campestre;10.0;15.0;2.0;5.0;;;;;;;50.0;200.0;;;20.0;70.0;14;0;900;900;7;9;3;;;;;;;;;;
4;E;Ferulago sartorii;;;;;10.0;12.0;;;10.0;10.0;;;30.0;;50.0;50.0;;;;;6;6;1;;;;;;;;;;
4;W;Ferulago nodosa;;;;;8.0;10.0;;;8.0;10.0;;;;;120.0;150.0;;0;700;700;5;6;2;;;;;;;;;;
5;E;Geocaryum euboicum;;;;;3.6;4.8;;;3.6;4.8;;;2.0;4.0;30.0;50.0;;750;1150;400;4;5;2;;;;;;;;;;
5;W;Geocaryum macrocarpum;;;;;4.0;5.0;;;4.0;5.0;;5.0;0.5;1.5;15.0;45.0;;50;1350;1300;3;5;3;;;;;;;;;;
6;E;Scaligeria halophila;;;;;2.0;5.0;;;2.0;5.0;;;;;40.0;50.0;;0;100;100;4;5;2;;;;;;;;;;
6;W;Scaligeria napiformis;;;;;;;;;;;;;;;;;;0;1400;1400;4;6;3;;;;;;;;;;
7;E;Pimpinella pretenderis;;;;;3.0;3.0;;;3.0;3.0;;;;;;;;0;300;300;4;6;3;;;;;;;;;;
7;W;Pimpinella peregrina;;;;;2.0;2.0;;;2.0;2.0;;;;;50.0;100.0;;0;1250;1250;5;8;4;;;;;;;;;;
8;E;Muscari kerkis;4.90;5.20;;;;;;;;;11.00;19.00;1.50;2.00;6.00;12.00;18;600;1200;600;2;4;3;;;;;;;;;;
8;W;Muscari commutatum;3.50;4.00;;;7.00;12.00;2.00;2.00;7.00;12.00;100.00;300.00;5.00;15.00;6.00;30.00;18;0;1100;1100;2;5;4;;;;;;;;;;
9;E;Ornithogalum pumilum;10.00;15.00;;;9.00;11.00;1.20;1.70;;;50.00;80.00;;;0.80;2.00;;1100;2000;900;5;6;2;;;;;;;;;;
9;W;Ornithogalum montanum;11.00;16.00;;;;;;;;;;;8.00;15.00;10.00;20.00;14;650;1300;650;4;6;3;;;;;;;;;;
10;E;Anthemis scopulorum;8.00;13.00;;;2.00;2.00;;;2.00;2.00;20.00;50.00;;;10.00;25.00;;0;100;100;4;6;2.5;;;;;;;;;;
10;W;Anthemis tomentosa;5.00;10.00;;;2.00;2.00;;;2.00;2.00;20.00;50.00;;;10.00;25.00;;0;900;900;4;6;2.5;;;;;;;;;;
11;E;Anthemis ammanthus subsp ammanthus;7.00;12.00;;;;;;;;;5.00;8.00;1.00;9.00;4.50;6.50;;0;300;300;4;6;3;;;;;;;;;;
